Date,Module,Test_Cases,Pass_Rate,Fail_Rate,Bugs_Found,Tester
2021-02-15,User Management,44,99.71300908221201,0.286990917787989,3,Charlie
2021-02-16,User Management,44,84.84110543023002,15.158894569769984,2,Charlie
2021-02-17,Reporting,42,93.44271094811756,6.557289051882435,6,Bob
2021-02-18,Dashboard,14,95.23239230657435,4.767607693425646,3,Bob
2021-02-19,Dashboard,50,84.752750879848,15.247249120152006,5,Alice
2021-02-20,Reporting,37,94.5643269722372,5.435673027762803,9,David
2021-02-21,Dashboard,16,87.35566265438507,12.644337345614929,6,David
2021-02-22,Reporting,82,92.64611661187159,7.353883388128409,6,Charlie
2021-02-23,User Management,81,92.67059421521789,7.329405784782111,9,Charlie
2021-02-24,Reporting,21,90.71549368149518,9.284506318504825,4,Charlie
2021-02-25,User Management,43,81.80579540108816,18.19420459891184,9,Bob
2021-02-26,User Management,42,96.70604991178476,3.29395008821524,2,Bob
2021-02-27,Authentication,57,86.41560129943471,13.584398700565288,10,Charlie
2021-02-28,Reporting,32,83.73037020799708,16.269629792002917,6,Charlie
2021-03-01,Authentication,71,80.81550283109527,19.184497168904727,9,Charlie
2021-03-02,Reporting,97,91.81785886376484,8.18214113623516,4,David
2021-03-03,Reporting,46,93.55128723684565,6.448712763154347,1,Bob
2021-03-04,Authentication,53,80.33175657855712,19.66824342144288,6,David
2021-03-05,Authentication,95,90.24186116598563,9.758138834014375,8,David
2021-03-06,Reporting,44,84.52991550395876,15.470084496041238,6,Charlie
2021-03-07,Dashboard,74,92.903455808189,7.096544191811006,2,Charlie
2021-03-08,User Management,56,83.48732858009983,16.512671419900173,3,Alice
2021-03-09,Authentication,87,93.81875476204932,6.181245237950677,5,Alice
2021-03-10,User Management,12,87.73470692601074,12.265293073989255,3,David
2021-03-11,Dashboard,10,98.73459977473469,1.26540022526531,3,Bob
2021-03-12,Dashboard,14,82.75041888291986,17.24958111708014,5,Charlie
2021-03-13,Dashboard,99,86.82132702100517,13.178672978994825,6,Charlie
2021-03-14,Authentication,23,82.26947042481179,17.730529575188214,5,David
2021-03-15,Dashboard,36,98.49387236557126,1.5061276344287364,3,Alice
2021-03-16,Authentication,18,97.54678706761962,2.4532129323803815,5,Bob
2021-03-17,Dashboard,88,85.15883255430312,14.841167445696883,3,Alice
2021-03-18,User Management,24,93.19968092068358,6.800319079316424,3,Alice
2021-03-19,User Management,99,96.34444400402433,3.655555995975675,6,Alice
2021-03-20,Reporting,51,91.10401623198925,8.895983768010751,5,Alice
2021-03-21,User Management,86,90.59301156712013,9.40698843287987,6,Charlie
2021-03-22,Reporting,60,84.83704581800903,15.162954181990969,2,Charlie
2021-03-23,User Management,72,81.86205535611798,18.137944643882022,4,Alice
2021-03-24,Authentication,61,97.94431515906653,2.0556848409334663,7,Bob
2021-03-25,User Management,13,98.00836114326661,1.9916388567333883,6,David
2021-03-26,Reporting,32,92.66202914546535,7.337970854534646,5,Bob
2021-03-27,Reporting,24,86.78059582097401,13.219404179025986,4,Bob
2021-03-28,Dashboard,52,86.98419149225322,13.015808507746783,3,Bob
2021-03-29,Authentication,38,94.5191135774048,5.480886422595205,3,Alice
2021-03-30,User Management,45,97.94220519905154,2.0577948009484572,7,Charlie
2021-03-31,Dashboard,22,97.74172848530235,2.258271514697654,7,Bob
